NAM_line,Chr,Group,Start,End,Array.size..bp.,Repeat.content..bp.,Repeat.Percentage,X100N,Ngap.Percentage,AF013103.1,CentC,CL569186.1,knob180,TR.1,type,structure,Cyto_vis,Cyto_type,Name,Notes
CML52,chr1,12,276679974,276777999,98025,52282,0.533,NA,0,0,0,0,0.672,0.328,knob180,mixed,,,,
CML247,chr1,16,276874971,276972992,98021,52300,0.534,NA,0,0,0,0,0.671,0.329,knob180,mixed,,,,
CML333,chr1,15,277484060,277582084,98024,52308,0.534,NA,0,0,0,0,0.671,0.329,knob180,mixed,,,,
Ki11,chr1,15,277634661,277767259,132598,20327,0.153,NA,0,0,0,0,0.794,0.206,knob180,mixed,,,,
Ky21,chr1,19,277649254,277747285,98031,52300,0.534,NA,0,0,0,0,0.671,0.329,knob180,mixed,,,,
P39,chr1,11,288442561,288509540,66979,15116,0.226,NA,0,0,0,0,1,0,knob180,single,,,,
IL14H,chr1,13,289185911,289310569,124658,15974,0.128,NA,0,0,0,0,1,0,knob180,single,,,,
Tx303,chr1,17,291811878,291888363,76485,15122,0.198,NA,0,0,0,0,1,0,knob180,single,,,,
CML322,chr1,12,293401359,293470992,69633,15458,0.222,NA,0,0,0,0,1,0,knob180,single,,,,
Mo18W,chr1,14,293681904,293806594,124690,15977,0.128,NA,0,0,0,0,1,0,knob180,single,,,,
HP301,chr1,14,294043654,294110631,66977,15116,0.226,NA,0,0,0,0,1,0,knob180,single,,,,
Oh43,chr1,13,294371800,294438779,66979,15116,0.226,NA,0,0,0,0,1,0,knob180,single,,,,
M37W,chr1,14,294407765,294477403,69638,15458,0.222,NA,0,0,0,0,1,0,knob180,single,,,,
M162W,chr1,15,294763245,294832898,69653,15458,0.222,NA,0,0,0,0,1,0,knob180,single,,,,
CML103,chr1,15,295547895,295614874,66979,15116,0.226,NA,0,0,0,0,1,0,knob180,single,,,,
Tzi8,chr1,18,295790714,295860040,69326,19150,0.276,NA,0,0,0,0,1,0,knob180,single,,,,
CML277,chr1,15,295900910,295935249,34339,9701,0.283,NA,0,0,0,0,1,0,knob180,single,,,,
MS71,chr1,11,295918299,295987932,69633,15458,0.222,NA,0,0,0,0,1,0,knob180,single,,,,
CML69,chr1,13,296160771,296246590,85819,15122,0.176,NA,0,0,0,0,1,0,knob180,single,,,,
Oh7b,chr1,17,296624810,296702780,77970,15458,0.198,NA,0,0,0,0,1,0,knob180,single,,,,
B73,chr1,14,297052671,297122304,69633,15458,0.222,NA,0,0,0,0,1,0,knob180,single,,,,
NC350,chr1,13,298986017,299062523,76506,15122,0.198,NA,0,0,0,0,1,0,knob180,single,,,,
CML247,chr1,17,299418065,299542721,124656,15977,0.128,NA,0,0,0,0,1,0,knob180,single,,,,
CML52,chr1,13,299561709,299638191,76482,15124,0.198,NA,0,0,0,0,1,0,knob180,single,,,,
Ky21,chr1,20,299734161,299810666,76505,15093,0.197,NA,0,0,0,0,1,0,knob180,single,,,,
Ki11,chr1,16,300369228,300445734,76506,15122,0.198,NA,0,0,0,0,1,0,knob180,single,,,,
CML333,chr1,16,300951616,300985947,34331,9698,0.282,NA,0,0,0,0,1,0,knob180,single,,,,
CML247,chr1,18,311121560,311136387,14827,1770,0.119,NA,0,0,0,0.392,0.608,0,knob180,mixed,,,,
CML228,chr1,16,311124501,311139538,15037,2000,0.133,NA,0,0,0,0.462,0.538,0,knob180,mixed,,,,
CML228,chr10,1,1,14416,14415,8929,0.619,NA,0,0,0,0.192,0.808,0,knob180,mixed,,,,
CML247,chr10,1,1,13332,13331,7784,0.584,NA,0,0,0,0.073,0.927,0,knob180,mixed,,,,
CML322,chr10,1,1,14145,14144,8422,0.595,NA,0,0,0,0.143,0.857,0,knob180,mixed,,,,
Ki11,chr10,1,1,14016,14015,8336,0.595,NA,0,0,0,0.134,0.866,0,knob180,mixed,,,,
MS71,chr10,1,1,15554,15553,9989,0.642,NA,0,0,0,0.278,0.722,0,knob180,mixed,,,,
Tx303,chr10,1,1,18402,18401,12640,0.687,NA,0,0,0,0.431,0.569,0,knob180,mixed,,,,
M37W,chr10,1,7,14548,14541,8743,0.601,NA,0,0,0,0.175,0.825,0,knob180,mixed,,,,
Oh7b,chr10,1,14,91721,91707,54134,0.59,NA,0,0,0,0,0.747,0.253,knob180,mixed,YES,knob180,10S,
Mo18W,chr10,1,4006,26289,22283,7025,0.315,NA,0,0,0,0,0.887,0.113,knob180,mixed,,,,
CML277,chr10,1,11614,33889,22275,7025,0.315,NA,0,0,0,0,0.887,0.113,knob180,mixed,,,,
Oh7b,chr10,2,259453,619725,360272,230441,0.64,NA,0.006,0,0,0,1,0,knob180,single,YES,knob180,10S,
Oh7b,chr10,7,50657935,50753117,95182,20135,0.212,NA,0,0,0,0.133,0.867,0,knob180,mixed,,,,
Oh7b,chr10,8,53368309,53379997,11688,2141,0.183,NA,0,0,0,0,1,0,knob180,single,,,,
Oh7b,chr10,9,87646571,87693436,46865,5427,0.116,NA,0,0,0,0,0,1,TR-1,single,,,,
Oh7b,chr10,10,89252329,89340281,87952,13488,0.153,NA,0,0,0,0,1,0,knob180,single,,,,
Mo18W,chr10,8,89547098,89642280,95182,20208,0.212,NA,0,0,0,0.136,0.864,0,knob180,mixed,,,,
MS71,chr10,7,89801803,89896967,95164,20083,0.211,NA,0,0,0,0.13,0.87,0,knob180,mixed,,,,
B97,chr10,7,91223624,91318799,95175,20144,0.212,NA,0,0,0,0.133,0.867,0,knob180,mixed,,,,
CML228,chr10,8,92504427,92599612,95185,20132,0.212,NA,0,0,0,0.133,0.867,0,knob180,mixed,,,,
HP301,chr10,6,92699902,92795081,95179,20133,0.212,NA,0,0,0,0.133,0.867,0,knob180,mixed,,,,
IL14H,chr10,7,92797769,92892949,95180,20176,0.212,NA,0,0,0,0.135,0.865,0,knob180,mixed,,,,
Ky21,chr10,7,92802720,92897903,95183,20214,0.212,NA,0,0,0,0.136,0.864,0,knob180,mixed,,,,
Ki3,chr10,8,93062736,93154450,91714,20188,0.22,NA,0,0,0,0.147,0.853,0,knob180,mixed,,,,
Ki11,chr10,7,93551584,93634380,82796,20141,0.243,NA,0,0,0,0.137,0.863,0,knob180,mixed,,,,
M162W,chr10,7,93569274,93664453,95179,20103,0.211,NA,0,0,0,0.131,0.869,0,knob180,mixed,,,,
NC350,chr10,6,94938290,95033473,95183,20146,0.212,NA,0,0,0,0.133,0.867,0,knob180,mixed,,,,
CML277,chr10,9,95677863,95698530,20667,2201,0.106,NA,0,0,0,0,1,0,knob180,single,,,,
CML247,chr10,8,95710051,95721739,11688,2141,0.183,NA,0,0,0,0,1,0,knob180,single,,,,
Tzi8,chr10,6,99740500,99752188,11688,2141,0.183,NA,0,0,0,0,1,0,knob180,single,,,,
Oh7b,chr10,11,104909236,104923205,13969,6403,0.458,NA,0,0,0,0,1,0,knob180,single,,,,
Mo18W,chr10,9,128306475,128323121,16646,5212,0.313,NA,0,0,0,0,0,1,TR-1,single,,,,
CML103,chr10,7,129328047,129364589,36542,5370,0.147,NA,0,0,0,0,0,1,TR-1,single,,,,
P39,chr10,8,130101686,130199255,97569,13488,0.138,NA,0,0,0,0,1,0,knob180,single,,,,
Mo18W,chr10,10,130119074,130223621,104547,20387,0.195,NA,0,0,0,0,1,0,knob180,single,,,,
MS71,chr10,8,130129524,130281033,151509,16609,0.11,NA,0,0,0,0,1,0,knob180,single,,,,
IL14H,chr10,8,130239047,130275587,36540,5409,0.148,NA,0,0,0,0,0,1,TR-1,single,,,,
CML228,chr10,9,130584440,130631318,46878,5409,0.115,NA,0,0,0,0,0,1,TR-1,single,,,,
CML322,chr10,8,130620679,130663629,42950,6756,0.157,NA,0,0,0,0,0,1,TR-1,single,,,,
Ki3,chr10,9,131046111,131082798,36687,5370,0.146,NA,0,0,0,0,0,1,TR-1,single,,,,
CML69,chr10,6,131062610,131099153,36543,5370,0.147,NA,0,0,0,0,0,1,TR-1,single,,,,
CML103,chr10,8,131166819,131253040,86221,14303,0.166,NA,0,0,0,0,1,0,knob180,single,,,,
B73,chr10,8,131385454,131421998,36544,5409,0.148,NA,0,0,0,0,0,1,TR-1,single,,,,
Tx303,chr10,6,131503088,131539632,36544,5409,0.148,NA,0,0,0,0,0,1,TR-1,single,,,,
B97,chr10,8,131694896,131723841,28945,16399,0.567,NA,0,0,0,0,1,0,knob180,single,,,,
IL14H,chr10,9,131975721,132065050,89329,13488,0.151,NA,0,0,0,0,1,0,knob180,single,,,,
CML247,chr10,10,132013815,132048728,34913,11610,0.333,NA,0,0,0,0,1,0,knob180,single,,,,
Oh43,chr10,8,132229341,132260015,30674,16558,0.54,NA,0,0,0,0,1,0,knob180,single,,,,
HP301,chr10,7,132237079,132267723,30644,16553,0.54,NA,0,0,0,0,1,0,knob180,single,,,,
CML228,chr10,10,132240173,132337652,97479,13488,0.138,NA,0,0,0,0,1,0,knob180,single,,,,
CML322,chr10,9,132334393,132369331,34938,11580,0.331,NA,0,0,0,0,1,0,knob180,single,,,,
CML52,chr10,6,132439096,132475640,36544,5352,0.146,NA,0,0,0,0,0,1,TR-1,single,,,,
CML69,chr10,7,132594916,132716954,122038,20413,0.167,NA,0,0,0,0,1,0,knob180,single,,,,
CML277,chr10,10,132598367,132686364,87997,13488,0.153,NA,0,0,0,0,1,0,knob180,single,,,,
M37W,chr10,8,132669946,132686593,16647,5212,0.313,NA,0,0,0,0,0,1,TR-1,single,,,,
Ky21,chr10,9,132727548,132765266,37718,10992,0.291,NA,0,0,0,0,1,0,knob180,single,,,,
Ki3,chr10,10,132737686,132823910,86224,14279,0.166,NA,0,0,0,0,1,0,knob180,single,,,,
Tx303,chr10,7,133067093,133164712,97619,13489,0.138,NA,0,0,0,0,1,0,knob180,single,,,,
B73,chr10,9,133070831,133158784,87953,13474,0.153,NA,0,0,0,0,1,0,knob180,single,,,,
CML333,chr10,8,133076796,133198839,122043,20413,0.167,NA,0,0,0,0,1,0,knob180,single,,,,
Ki11,chr10,8,133707345,133863612,156267,20248,0.13,NA,0,0,0,0,1,0,knob180,single,,,,
NC358,chr10,7,133876082,133919032,42950,6756,0.157,NA,0,0,0,0,0,1,TR-1,single,,,,
M162W,chr10,9,133995885,134085186,89301,13488,0.151,NA,0,0,0,0,1,0,knob180,single,,,,
CML52,chr10,7,134223310,134311236,87926,13488,0.153,NA,0,0,0,0,1,0,knob180,single,,,,
NC350,chr10,7,134289237,134325791,36554,5370,0.147,NA,0,0,0,0,0,1,TR-1,single,,,,
M37W,chr10,9,134410032,134444967,34935,11619,0.333,NA,0,0,0,0,1,0,knob180,single,,,,
NC358,chr10,8,135584356,135659835,75479,14303,0.189,NA,0,0,0,0,1,0,knob180,single,,,,
Tzi8,chr10,8,135920806,136042849,122043,20411,0.167,NA,0,0,0,0,1,0,knob180,single,,,,
NC350,chr10,8,136009616,136140201,130585,20411,0.156,NA,0,0,0,0,1,0,knob180,single,,,,
Mo18W,chr10,11,139373527,139385561,12034,3592,0.298,NA,0,0,0,0,0.564,0.436,knob180,mixed,,,,
MS71,chr10,9,139656782,139678805,22023,5423,0.246,NA,0,0,0,0,0.572,0.428,knob180,mixed,,,,
CML228,chr10,11,141965088,141977072,11984,3611,0.301,NA,0,0,0,0,0.576,0.424,knob180,mixed,,,,
CML277,chr10,11,141982538,141994336,11798,3627,0.307,NA,0,0,0,0,0.569,0.431,knob180,mixed,,,,
CML322,chr10,10,142141470,142163312,21842,5455,0.25,NA,0,0,0,0,0.569,0.431,knob180,mixed,,,,
Oh43,chr10,9,142372540,142384523,11983,3610,0.301,NA,0,0,0,0,0.576,0.424,knob180,mixed,,,,
B73,chr10,10,142916460,142928443,11983,3610,0.301,NA,0,0,0,0,0.576,0.424,knob180,mixed,,,,
Tx303,chr10,8,142936678,142958519,21841,5431,0.249,NA,0,0,0,0,0.567,0.433,knob180,mixed,,,,
P39,chr10,10,144434740,144460548,25808,6469,0.251,NA,0,0,0,0,1,0,knob180,single,,,,
MS71,chr10,10,144815129,144829098,13969,6403,0.458,NA,0,0,0,0,1,0,knob180,single,,,,
Mo18W,chr10,12,144990254,145013739,23485,6370,0.271,NA,0,0,0,0,1,0,knob180,single,,,,
NC350,chr10,9,145625810,145646590,20780,4684,0.225,NA,0,0,0,0,0.511,0.489,knob180,mixed,,,,
HP301,chr10,8,146532523,146546459,13936,6364,0.457,NA,0,0,0,0,1,0,knob180,single,,,,
Ki3,chr10,11,146921894,146985501,63607,6544,0.103,NA,0,0,0,0,1,0,knob180,single,,,,
B97,chr10,9,147042832,147056801,13969,6403,0.458,NA,0,0,0,0,1,0,knob180,single,,,,
CML103,chr10,9,147082654,147146330,63676,6544,0.103,NA,0,0,0,0,1,0,knob180,single,,,,
CML277,chr10,12,147405723,147429208,23485,6370,0.271,NA,0,0,0,0,1,0,knob180,single,,,,
CML322,chr10,11,147556017,147619688,63671,6544,0.103,NA,0,0,0,0,1,0,knob180,single,,,,
P39,chr10,11,147754247,147883198,128951,17120,0.133,NA,0,0,0,0.421,0.579,0,knob180,mixed,,,,
CML247,chr10,11,147820435,147852808,32373,6344,0.196,NA,0,0,0,0,1,0,knob180,single,,,,
IL14H,chr10,11,147876249,147902059,25810,6469,0.251,NA,0,0,0,0,1,0,knob180,single,,,,
Oh43,chr10,10,147895619,147909555,13936,6364,0.457,NA,0,0,0,0,1,0,knob180,single,,,,
CML333,chr10,9,147908206,147948300,40094,6515,0.162,NA,0,0,0,0,1,0,knob180,single,,,,
Ky21,chr10,10,148181614,148194516,12902,6449,0.5,NA,0,0,0,0,1,0,knob180,single,,,,
B73,chr10,11,148545277,148558180,12903,6449,0.5,NA,0,0,0,0,1,0,knob180,single,,,,
CML69,chr10,8,148737136,148800804,63668,6544,0.103,NA,0,0,0,0,1,0,knob180,single,,,,
CML52,chr10,8,148843614,148875967,32353,6315,0.195,NA,0,0,0,0,1,0,knob180,single,,,,
Ki11,chr10,9,149078490,149118584,40094,6515,0.162,NA,0,0,0,0,1,0,knob180,single,,,,
MS71,chr10,11,149126993,149257305,130312,18545,0.142,NA,0,0,0,0.466,0.534,0,knob180,mixed,,,,
M162W,chr10,10,149391109,149431201,40092,6515,0.163,NA,0,0,0,0,1,0,knob180,single,,,,
M37W,chr10,10,149875127,149889096,13969,6403,0.458,NA,0,0,0,0,1,0,knob180,single,,,,
HP301,chr10,9,150309971,150435773,125802,14056,0.112,NA,0,0,0,0.295,0.705,0,knob180,mixed,,,,
CML103,chr10,10,150634820,150769489,134669,15198,0.113,NA,0,0,0,0.345,0.655,0,knob180,mixed,,,,
CML277,chr10,13,150891373,151024655,133282,13879,0.104,NA,0,0,0,0.283,0.717,0,knob180,mixed,,,,
Ki3,chr10,12,150934818,151068165,133347,13995,0.105,NA,0,0,0,0.289,0.711,0,knob180,mixed,,,,
NC350,chr10,10,151181603,151195540,13937,6364,0.457,NA,0,0,0,0,1,0,knob180,single,,,,
CML228,chr10,13,151257747,151304394,46647,9959,0.213,NA,0,0,0,0,1,0,knob180,single,,,,
CML322,chr10,12,151364944,151455434,90490,10479,0.116,NA,0,0,0,0.05,0.95,0,knob180,mixed,,,,
Oh43,chr10,11,151378393,151425029,46636,9912,0.213,NA,0,0,0,0,1,0,knob180,single,,,,
CML333,chr10,10,151504357,151632722,128365,16598,0.129,NA,0,0,0,0.403,0.597,0,knob180,mixed,,,,
IL14H,chr10,12,151867938,151993662,125724,14033,0.112,NA,0,0,0,0.294,0.706,0,knob180,mixed,,,,
Ky21,chr10,11,152045038,152183151,138113,19170,0.139,NA,0,0,0,0.475,0.525,0,knob180,mixed,,,,
B73,chr10,12,152307350,152435371,128021,16239,0.127,NA,0,0,0,0.39,0.61,0,knob180,mixed,,,,
CML52,chr10,9,152802451,152931170,128719,16464,0.128,NA,0,0,0,0.395,0.605,0,knob180,mixed,,,,
CML69,chr10,9,152850606,152977504,126898,14576,0.115,NA,0,0,0,0.317,0.683,0,knob180,mixed,,,,
M37W,chr10,11,153770582,153902501,131919,15995,0.121,NA,0,0,0,0.371,0.629,0,knob180,mixed,,,,
NC358,chr10,10,156055193,156182245,127052,14859,0.117,NA,0,0,0,0.33,0.67,0,knob180,mixed,,,,
Ki11,chr2,2,21358221,27204836,5846615,4301044,0.736,Y,0,0,0,0,0.943,0.057,knob180,mixed,YES,knob180,2S,
Ki3,chr2,2,33329399,33366413,37014,5957,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
Oh7b,chr2,2,33539930,33576952,37022,5957,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
CML247,chr2,2,33562627,33611604,48977,5929,0.121,NA,0,0,0,0,1,0,knob180,single,,,,
Mo18W,chr2,2,33900083,33937088,37005,5953,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
B97,chr2,2,33939457,33976474,37017,5957,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
CML69,chr2,2,33986247,34006237,19990,5907,0.295,NA,0,0,0,0,1,0,knob180,single,,,,
CML103,chr2,2,33990778,34027794,37016,5957,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
CML52,chr2,1,34061702,34100246,38544,5824,0.151,NA,0,0,0,0,1,0,knob180,single,,,,
NC350,chr2,2,34123020,34160038,37018,5957,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
M162W,chr2,2,34156459,34176645,20186,7667,0.38,NA,0,0,0,0,1,0,knob180,single,,,,
B73,chr2,2,34206207,34243224,37017,5957,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
Tzi8,chr2,2,34254336,34291351,37015,5957,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
CML322,chr2,2,34292176,34329200,37024,5955,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
CML277,chr2,2,34381005,34412302,31297,5884,0.188,NA,0,0,0,0,1,0,knob180,single,,,,
CML228,chr2,2,34399590,34448242,48652,5954,0.122,NA,0,0,0,0,1,0,knob180,single,,,,
HP301,chr2,2,34496077,34533092,37015,5957,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
IL14H,chr2,2,34614513,34651540,37027,5955,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
NC358,chr2,2,34698226,34735241,37015,5957,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
Tx303,chr2,2,34990785,35027801,37016,5957,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
Ky21,chr2,2,35178041,35215068,37027,5957,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
P39,chr2,2,35300167,35337195,37028,5955,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
MS71,chr2,2,35561169,35598194,37025,5955,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
CML333,chr2,2,35868164,35905185,37021,5957,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
Oh43,chr2,2,36259232,36296248,37016,5957,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
Ki11,chr2,3,41598867,41635880,37013,5953,0.161,NA,0,0,0,0,1,0,knob180,single,,,,
M162W,chr2,3,84319237,84406666,87429,17213,0.197,NA,0,0,0,0,1,0,knob180,single,,,,
CML69,chr2,3,85909226,85990039,80813,17298,0.214,NA,0,0,0,0,1,0,knob180,single,,,,
Ki3,chr2,3,86141962,86229367,87405,17209,0.197,NA,0,0,0,0,1,0,knob180,single,,,,
Oh7b,chr2,3,86448066,86528882,80816,17298,0.214,NA,0,0,0,0,1,0,knob180,single,,,,
CML228,chr2,3,86647069,86734474,87405,17209,0.197,NA,0,0,0,0,1,0,knob180,single,,,,
CML322,chr2,3,86930153,87024273,94120,16800,0.178,NA,0,0,0,0,1,0,knob180,single,,,,
CML247,chr2,3,87066030,87109144,43114,6986,0.162,NA,0,0,0,0,1,0,knob180,single,,,,
IL14H,chr2,3,87178995,87273126,94131,16800,0.178,NA,0,0,0,0,1,0,knob180,single,,,,
Tzi8,chr2,3,87330147,87373261,43114,6986,0.162,NA,0,0,0,0,1,0,knob180,single,,,,
CML103,chr2,3,87454730,87511188,56458,16759,0.297,NA,0,0,0,0,1,0,knob180,single,,,,
Mo18W,chr2,3,87698537,87779352,80815,17299,0.214,NA,0,0,0,0,1,0,knob180,single,,,,
NC350,chr2,3,87724746,87805562,80816,17299,0.214,NA,0,0,0,0,1,0,knob180,single,,,,
B73,chr2,3,87769397,87863520,94123,16800,0.178,NA,0,0,0,0,1,0,knob180,single,,,,
MS71,chr2,3,87892331,87973148,80817,17298,0.214,NA,0,0,0,0,1,0,knob180,single,,,,
B97,chr2,3,87998518,88085935,87417,17211,0.197,NA,0,0,0,0,1,0,knob180,single,,,,
P39,chr2,3,88263801,88331257,67456,16782,0.249,NA,0,0,0,0,1,0,knob180,single,,,,
CML333,chr2,3,88902915,88983732,80817,17298,0.214,NA,0,0,0,0,1,0,knob180,single,,,,
Tx303,chr2,3,89033654,89114467,80813,17299,0.214,NA,0,0,0,0,1,0,knob180,single,,,,
NC358,chr2,3,89107568,89164026,56458,16786,0.297,NA,0,0,0,0,1,0,knob180,single,,,,
CML52,chr2,2,89114620,89211489,96869,17214,0.178,NA,0,0,0,0,1,0,knob180,single,,,,
Ky21,chr2,3,89228365,89315781,87416,17184,0.197,NA,0,0,0,0,1,0,knob180,single,,,,
Oh43,chr2,3,89276844,89371049,94205,16800,0.178,NA,0,0,0,0,1,0,knob180,single,,,,
HP301,chr2,3,89775129,89855946,80817,17298,0.214,NA,0,0,0,0,1,0,knob180,single,,,,
Ki11,chr2,4,95085881,95180711,94830,17209,0.181,NA,0,0,0,0,1,0,knob180,single,,,,
CML69,chr2,6,120306550,120323976,17426,5185,0.298,NA,0,0,0,0,1,0,knob180,single,,,,
M162W,chr2,6,120775397,120792839,17442,5185,0.297,NA,0,0,0,0,1,0,knob180,single,,,,
Ki3,chr2,5,121544907,121562332,17425,5185,0.298,NA,0,0,0,0,1,0,knob180,single,,,,
B73,chr2,5,121862645,121880088,17443,5185,0.297,NA,0,0,0,0,1,0,knob180,single,,,,
Oh7b,chr2,5,121913509,121931789,18280,5498,0.301,NA,0,0,0,0,1,0,knob180,single,,,,
MS71,chr2,6,121945135,121962576,17441,5153,0.295,NA,0,0,0,0,1,0,knob180,single,,,,
CML228,chr2,5,122119566,122136991,17425,5185,0.298,NA,0,0,0,0,1,0,knob180,single,,,,
CML103,chr2,5,122484472,122546668,62196,11812,0.19,NA,0,0,0,0,1,0,knob180,single,,,,
CML247,chr2,5,122617430,122679629,62199,11812,0.19,NA,0,0,0,0,1,0,knob180,single,,,,
B97,chr2,5,122681305,122698730,17425,5185,0.298,NA,0,0,0,0,1,0,knob180,single,,,,
IL14H,chr2,5,122961870,122980149,18279,5498,0.301,NA,0,0,0,0,1,0,knob180,single,,,,
Tzi8,chr2,5,122982554,123044754,62200,11812,0.19,NA,0,0,0,0,1,0,knob180,single,,,,
M37W,chr2,4,123062477,123079921,17444,5184,0.297,NA,0,0,0,0,1,0,knob180,single,,,,
NC358,chr2,5,123235788,123253212,17424,5185,0.298,NA,0,0,0,0,1,0,knob180,single,,,,
CML322,chr2,5,123284270,123302549,18279,5498,0.301,NA,0,0,0,0,1,0,knob180,single,,,,
Mo18W,chr2,6,123596355,123613800,17445,5186,0.297,NA,0,0,0,0,1,0,knob180,single,,,,
CML52,chr2,5,124504641,124529281,24640,5185,0.21,NA,0,0,0,0,1,0,knob180,single,,,,
NC350,chr2,6,124632300,124694497,62197,11812,0.19,NA,0,0,0,0,1,0,knob180,single,,,,
Tx303,chr2,5,124697218,124714663,17445,5186,0.297,NA,0,0,0,0,1,0,knob180,single,,,,
P39,chr2,5,124801623,124819902,18279,5498,0.301,NA,0,0,0,0,1,0,knob180,single,,,,
Ky21,chr2,5,124863899,124881343,17444,5185,0.297,NA,0,0,0,0,1,0,knob180,single,,,,
Oh43,chr2,5,125129313,125146775,17462,5152,0.295,NA,0,0,0,0,1,0,knob180,single,,,,
CML277,chr2,4,125255463,125272887,17424,5185,0.298,NA,0,0,0,0,1,0,knob180,single,,,,
CML333,chr2,5,125362689,125380133,17444,5185,0.297,NA,0,0,0,0,1,0,knob180,single,,,,
HP301,chr2,6,126363150,126380593,17443,5185,0.297,NA,0,0,0,0,1,0,knob180,single,,,,
Ki11,chr2,7,131794115,131811540,17425,5185,0.298,NA,0,0,0,0,1,0,knob180,single,,,,
CML69,chr2,7,206421997,206918242,496245,310865,0.626,Y,0,0,0,0,0.897,0.103,knob180,mixed,,,,
Oh7b,chr2,6,206681801,208008344,1326543,681315,0.514,Y,0,0,0,0,0.16,0.84,TR-1,mixed,YES,mixed,2L,
CML69,chr2,8,207023047,207203092,180045,125446,0.697,NA,0,0,0,0,0.967,0.033,knob180,mixed,,,,
Oh7b,chr2,7,208180474,208496460,315986,211041,0.668,NA,0.129,0,0,0,0.955,0.045,knob180,mixed,YES,mixed,2L,
Oh7b,chr2,8,209014234,209045900,31666,31511,0.995,NA,0,0,0,0,1,0,knob180,single,YES,mixed,2L,
Oh7b,chr2,9,209285238,209732949,447711,270025,0.603,NA,0.045,0,0,0,0.94,0.06,knob180,mixed,YES,mixed,2L,
CML322,chr2,6,209291288,210097480,806192,493908,0.613,Y,0.038,0,0,0,0.927,0.073,knob180,mixed,YES,mixed,2L,
B97,chr2,6,209463181,210622711,1159530,902691,0.778,Y,0,0,0,0,0.969,0.031,knob180,mixed,YES,knob180,2L,
Ki3,chr2,6,209814174,211359390,1545216,771635,0.499,Y,0,0,0,0,0.14,0.86,TR-1,mixed,YES,mixed,2L,
Oh7b,chr2,10,209846660,210021601,174941,119972,0.686,NA,0,0,0,0,0.966,0.034,knob180,mixed,YES,mixed,2L,
NC358,chr2,6,210462405,211272986,810581,460370,0.568,Y,0.116,0,0,0,0.922,0.078,knob180,mixed,YES,knob180,2L,
Mo18W,chr2,7,210533169,211558667,1025498,583625,0.569,Y,0.025,0,0,0,0.494,0.506,TR-1,mixed,YES,knob180,2L,
CML277,chr2,5,210861841,212333146,1471305,650620,0.442,Y,0.08,0,0,0,0.145,0.855,TR-1,mixed,YES,mixed,2L,
Tx303,chr2,6,211083480,215978882,4895402,2979808,0.609,Y,0.022,0,0,0,0.581,0.419,knob180,mixed,YES,mixed,2L,
B97,chr2,7,211178586,216295464,5116878,3266361,0.638,NA,0.003,0,0,0,0.626,0.374,knob180,mixed,YES,knob180,2L,
CML228,chr2,6,211479964,211595826,115862,62632,0.541,NA,0,0,0,0,1,0,knob180,single,YES,knob180,2L,
Mo18W,chr2,8,211689008,212069772,380764,332880,0.874,NA,0,0,0,0,0.955,0.045,knob180,mixed,YES,knob180,2L,
CML228,chr2,7,211726936,211806527,79591,42467,0.534,NA,0,0,0,0,1,0,knob180,single,YES,knob180,2L,
Ki3,chr2,7,211731961,211981872,249911,169130,0.677,NA,0.075,0,0,0,0.944,0.056,knob180,mixed,YES,mixed,2L,
Mo18W,chr2,9,212170453,212523097,352644,238664,0.677,NA,0.014,0,0,0,1,0,knob180,single,YES,knob180,2L,
Oh43,chr2,6,212267464,212966733,699269,413163,0.591,Y,0.03,0,0,0,0.912,0.088,knob180,mixed,YES,mixed,2L,
CML228,chr2,8,212274319,212485860,211541,103426,0.489,NA,0,0,0,0,0.844,0.156,knob180,mixed,YES,knob180,2L,
Ki3,chr2,8,212293775,212624600,330825,139637,0.422,NA,0.258,0,0,0,1,0,knob180,single,YES,mixed,2L,
NC350,chr2,7,212356084,220695607,8339523,5748235,0.689,Y,0.012,0,0,0,0.776,0.224,knob180,mixed,YES,knob180,2L,
CML228,chr2,9,212593474,212775300,181826,113345,0.623,NA,0.076,0,0,0,0.964,0.036,knob180,mixed,YES,knob180,2L,
Tzi8,chr2,6,212627075,212934180,307105,154858,0.504,Y,0,0,0,0,0.898,0.102,knob180,mixed,YES,mixed,2L,
Mo18W,chr2,10,212751658,213512246,760588,502692,0.661,NA,0.02,0,0,0,0.957,0.043,knob180,mixed,YES,knob180,2L,
